Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Applying symmetry-breaking perturbation (amplitude=0.05)...
Done.

Running Pinball Re=100 for 150000 steps (t=1500s)
  PNGs    -> snapshots/ every 500 steps
  Scalars -> pinball_timeseries.h5

  t=  825.0s | CD1=0.9812 | CL2=0.10408 | CL2_std(500)=0.0087 | reward=-0.03681
  t=  830.0s | CD1=0.9809 | CL2=0.11394 | CL2_std(500)=0.0083 | reward=-0.03691
  t=  835.0s | CD1=0.9810 | CL2=0.11215 | CL2_std(500)=0.0045 | reward=-0.03682
  t=  840.0s | CD1=0.9813 | CL2=0.10178 | CL2_std(500)=0.0085 | reward=-0.03689
  t=  845.0s | CD1=0.9807 | CL2=0.12331 | CL2_std(500)=0.0075 | reward=-0.03685
  t=  850.0s | CD1=0.9814 | CL2=0.09784 | CL2_std(500)=0.0122 | reward=-0.03686
  t=  855.0s | CD1=0.9805 | CL2=0.13061 | CL2_std(500)=0.0110 | reward=-0.03687
  t=  860.0s | CD1=0.9813 | CL2=0.09989 | CL2_std(500)=0.0124 | reward=-0.03682
  t=  865.0s | CD1=0.9805 | CL2=0.12611 | CL2_std(500)=0.0109 | reward=-0.03690
  t=  870.0s | CD1=0.9812 | CL2=0.10472 | CL2_std(500)=0.0082 | reward=-0.03681
  t=  875.0s | CD1=0.9809 | CL2=0.11244 | CL2_std(500)=0.0080 | reward=-0.03691
  t=  880.0s | CD1=0.9809 | CL2=0.11322 | CL2_std(500)=0.0045 | reward=-0.03682
  t=  885.0s | CD1=0.9813 | CL2=0.10097 | CL2_std(500)=0.0089 | reward=-0.03689
  t=  890.0s | CD1=0.9806 | CL2=0.12441 | CL2_std(500)=0.0079 | reward=-0.03685
  t=  895.0s | CD1=0.9814 | CL2=0.09786 | CL2_std(500)=0.0124 | reward=-0.03685
  t=  900.0s | CD1=0.9804 | CL2=0.13077 | CL2_std(500)=0.0111 | reward=-0.03688
  t=  905.0s | CD1=0.9813 | CL2=0.10026 | CL2_std(500)=0.0121 | reward=-0.03682
  t=  910.0s | CD1=0.9806 | CL2=0.12496 | CL2_std(500)=0.0107 | reward=-0.03690
  t=  915.0s | CD1=0.9811 | CL2=0.10540 | CL2_std(500)=0.0076 | reward=-0.03681
  t=  920.0s | CD1=0.9810 | CL2=0.11096 | CL2_std(500)=0.0078 | reward=-0.03691
  t=  925.0s | CD1=0.9809 | CL2=0.11433 | CL2_std(500)=0.0046 | reward=-0.03682
  t=  930.0s | CD1=0.9813 | CL2=0.10025 | CL2_std(500)=0.0093 | reward=-0.03689
  t=  935.0s | CD1=0.9806 | CL2=0.12547 | CL2_std(500)=0.0084 | reward=-0.03685
  t=  940.0s | CD1=0.9814 | CL2=0.09793 | CL2_std(500)=0.0126 | reward=-0.03685
  t=  945.0s | CD1=0.9804 | CL2=0.13077 | CL2_std(500)=0.0113 | reward=-0.03688
  t=  950.0s | CD1=0.9813 | CL2=0.10067 | CL2_std(500)=0.0118 | reward=-0.03682
  t=  955.0s | CD1=0.9806 | CL2=0.12371 | CL2_std(500)=0.0104 | reward=-0.03690
  t=  960.0s | CD1=0.9811 | CL2=0.10613 | CL2_std(500)=0.0070 | reward=-0.03681
  t=  965.0s | CD1=0.9810 | CL2=0.10953 | CL2_std(500)=0.0076 | reward=-0.03691
  t=  970.0s | CD1=0.9809 | CL2=0.11547 | CL2_std(500)=0.0048 | reward=-0.03683
  t=  975.0s | CD1=0.9813 | CL2=0.09964 | CL2_std(500)=0.0097 | reward=-0.03688
  t=  980.0s | CD1=0.9806 | CL2=0.12646 | CL2_std(500)=0.0088 | reward=-0.03685
  t=  985.0s | CD1=0.9814 | CL2=0.09806 | CL2_std(500)=0.0128 | reward=-0.03684
  t=  990.0s | CD1=0.9804 | CL2=0.13064 | CL2_std(500)=0.0114 | reward=-0.03688
  t=  995.0s | CD1=0.9813 | CL2=0.10110 | CL2_std(500)=0.0115 | reward=-0.03681
  t= 1000.0s | CD1=0.9806 | CL2=0.12237 | CL2_std(500)=0.0101 | reward=-0.03690
  t= 1005.0s | CD1=0.9811 | CL2=0.10690 | CL2_std(500)=0.0065 | reward=-0.03681
  t= 1010.0s | CD1=0.9810 | CL2=0.10815 | CL2_std(500)=0.0076 | reward=-0.03690
  t= 1015.0s | CD1=0.9808 | CL2=0.11663 | CL2_std(500)=0.0051 | reward=-0.03683
  t= 1020.0s | CD1=0.9813 | CL2=0.09912 | CL2_std(500)=0.0101 | reward=-0.03688
  t= 1025.0s | CD1=0.9806 | CL2=0.12737 | CL2_std(500)=0.0092 | reward=-0.03686
  t= 1030.0s | CD1=0.9814 | CL2=0.09823 | CL2_std(500)=0.0129 | reward=-0.03684
  t= 1035.0s | CD1=0.9804 | CL2=0.13036 | CL2_std(500)=0.0115 | reward=-0.03688
  t= 1040.0s | CD1=0.9813 | CL2=0.10156 | CL2_std(500)=0.0111 | reward=-0.03681
  t= 1045.0s | CD1=0.9807 | CL2=0.12097 | CL2_std(500)=0.0098 | reward=-0.03690
  t= 1050.0s | CD1=0.9811 | CL2=0.10771 | CL2_std(500)=0.0060 | reward=-0.03681
  t= 1055.0s | CD1=0.9811 | CL2=0.10683 | CL2_std(500)=0.0075 | reward=-0.03690
  t= 1060.0s | CD1=0.9808 | CL2=0.11781 | CL2_std(500)=0.0054 | reward=-0.03683
  t= 1065.0s | CD1=0.9814 | CL2=0.09870 | CL2_std(500)=0.0105 | reward=-0.03687
  t= 1070.0s | CD1=0.9805 | CL2=0.12820 | CL2_std(500)=0.0096 | reward=-0.03686
  t= 1075.0s | CD1=0.9814 | CL2=0.09845 | CL2_std(500)=0.0129 | reward=-0.03684
  t= 1080.0s | CD1=0.9805 | CL2=0.12993 | CL2_std(500)=0.0115 | reward=-0.03689
  t= 1085.0s | CD1=0.9813 | CL2=0.10204 | CL2_std(500)=0.0106 | reward=-0.03681
  t= 1090.0s | CD1=0.9807 | CL2=0.11952 | CL2_std(500)=0.0095 | reward=-0.03691
  t= 1095.0s | CD1=0.9811 | CL2=0.10858 | CL2_std(500)=0.0055 | reward=-0.03681
  t= 1100.0s | CD1=0.9811 | CL2=0.10559 | CL2_std(500)=0.0076 | reward=-0.03690
  t= 1105.0s | CD1=0.9808 | CL2=0.11900 | CL2_std(500)=0.0058 | reward=-0.03683
  t= 1110.0s | CD1=0.9814 | CL2=0.09837 | CL2_std(500)=0.0109 | reward=-0.03687
  t= 1115.0s | CD1=0.9805 | CL2=0.12893 | CL2_std(500)=0.0099 | reward=-0.03686
